trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
186,False,"{'a': 0.01, 'e': 0.1541236618151314}",30,13,-25.12405387935754,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
187,False,"{'a': 0.01, 'e': 0.15259010575688386}",25,17,-28.779800158776048,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
188,False,"{'a': 0.01, 'e': 0.15107180883637084}",20,12,15.784010684953234,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.01, 'e': 0.14956861922263504}",20,0,-15.000227836783765,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
190,False,"{'a': 0.01, 'e': 0.14808038659546244}",25,7,26.24955663336441,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.01, 'e': 0.14660696213035015}",35,22,22.84994454460708,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.01, 'e': 0.14514819848362373}",20,10,19.205044030477655,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.01, 'e': 0.14370394977770293}",30,18,19.675252008009494,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.01, 'e': 0.1422740715865136}",20,6,9.055097820612774,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.01, 'e': 0.140858420921045}",25,9,18.0425713908708,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.01, 'e': 0.13945685621505094}",20,4,13.911260312319271,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.01, 'e': 0.13806923731089282}",20,2,5.177350634197099,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
198,False,"{'a': 0.01, 'e': 0.13669542544552385}",25,16,18.58187352259714,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.01, 'e': 0.1353352832366127}",20,11,15.574097359638339,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.01, 'e': 0.13398867466880493}",25,12,25.214469191006888,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.01, 'e': 0.13265546508012172}",25,12,10.53304200384445,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.01, 'e': 0.13133552114849303}",20,9,25.064331105325973,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.01, 'e': 0.1300287108784259}",25,13,22.608235841106726,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.01, 'e': 0.12873490358780423}",30,20,21.575552946626345,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.01, 'e': 0.12745396989482075}",25,20,7.840505441934839,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.01, 'e': 0.12618578170503877}",25,13,18.861435770537042,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.01, 'e': 0.12493021219858241}",20,14,-0.8165287569028177,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.01, 'e': 0.12368713581745483}",20,9,8.477057787927933,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.01, 'e': 0.1224564282529819}",25,11,15.938831297406322,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.01, 'e': 0.12123796643338168}",30,12,30.749430359862338,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.01, 'e': 0.12003162851145673}",20,4,15.621760658518197,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.01, 'e': 0.11883729385240965}",35,19,31.5489826166313,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.01, 'e': 0.11765484302177918}",35,24,22.87080668602847,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.01, 'e': 0.11648415777349697}",25,9,-32.71215238882796,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
215,False,"{'a': 0.01, 'e': 0.11532512103806251}",20,12,14.43983752834851,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.01, 'e': 0.1141776169108365}",25,12,16.001674861869418,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.01, 'e': 0.11304153064044985}",20,16,6.363047996037517,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.01, 'e': 0.11191674861732888}",35,18,31.339698712854805,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.01, 'e': 0.11080315836233387}",25,5,24.648958758021163,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.01, 'e': 0.10970064851551141}",25,18,-0.5646377885915519,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.01, 'e': 0.10860910882495796}",25,15,10.888844672101136,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.01, 'e': 0.10752843013579495}",25,19,10.137282232228888,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.01, 'e': 0.1064585043792528}",20,0,-15.68633599120115,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
224,False,"{'a': 0.01, 'e': 0.10539922456186433}",20,9,18.35330628460236,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.01, 'e': 0.104350484754765}",20,7,22.33580955712764,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.01, 'e': 0.1033121800831002}",20,8,23.142935621980737,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.01, 'e': 0.10228420671553744}",20,11,16.48907080210229,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.01, 'e': 0.1012664618538834}",20,7,-0.1572124068736791,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
229,False,"{'a': 0.01, 'e': 0.1002588437228037}",25,14,19.518560886954695,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.01, 'e': 0.09926125155964566}",20,0,28.666955822825017,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.01, 'e': 0.09827358560436154}",20,11,17.20802478595603,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.01, 'e': 0.09729574708953276}",25,11,14.530638417323583,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.01, 'e': 0.09632763823049303}",20,6,24.32674783061843,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.01, 'e': 0.09536916221554961}",20,9,21.04955865709951,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.01, 'e': 0.09442022319630235}",20,8,22.75179163408098,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.01, 'e': 0.09348072627805847}",20,13,-31.078601396624748,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
237,False,"{'a': 0.01, 'e': 0.09255057751034329}",20,6,22.188149121970113,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.01, 'e': 0.09162968387750484}",20,8,18.74142258292854,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.01, 'e': 0.09071795328941251}",20,0,11.722593666805867,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
240,False,"{'a': 0.01, 'e': 0.08981529457224763}",20,9,10.980743133648703,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.01, 'e': 0.08892161745938634}",20,12,15.057925371078476,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.01, 'e': 0.08803683258237255}",20,5,27.123802138332056,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.01, 'e': 0.0871608514619813}",20,11,18.947794601423688,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.01, 'e': 0.0862935864993705}",30,13,32.40902555900195,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.01, 'e': 0.08543495096732123}",20,16,7.860899050196076,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.01, 'e': 0.08458485900156469}",25,19,12.85527789555998,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.01, 'e': 0.08374322559219596}",20,1,16.561104810061074,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
248,False,"{'a': 0.01, 'e': 0.08290996657517266}",20,7,26.072509197082212,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.01, 'e': 0.0820849986238988}",25,5,25.69212166712082,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.01, 'e': 0.08126823924089167}",30,13,30.325705694628063,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.01, 'e': 0.08045960674953244}",30,15,27.632568509431696,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.01, 'e': 0.07965902028589801}",20,0,28.09479939723293,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.01, 'e': 0.07886639979067495}",30,22,14.776745311898946,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.01, 'e': 0.07808166600115313}",20,6,24.49380466567876,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.01, 'e': 0.07730474044329974}",25,13,17.388828385625263,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.01, 'e': 0.07653554542391151}",20,8,24.141477983606197,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.01, 'e': 0.07577400402284548}",35,17,33.38040189236701,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.01, 'e': 0.07502004008532698}",20,13,15.122616098128859,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.01, 'e': 0.07427357821433388}",30,17,3.0805092892044588,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
260,False,"{'a': 0.01, 'e': 0.0735345437630571}",20,0,29.59436446108311,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.01, 'e': 0.07280286282743559}",25,14,10.656049728882596,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.01, 'e': 0.0720784622387661}",25,15,16.670925486361007,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.01, 'e': 0.07136126955638605}",20,11,18.306465068883732,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.01, 'e': 0.0706512130604296}",25,3,6.638140836905573,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.01, 'e': 0.06994822174465536}",30,18,23.50056288672715,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.01, 'e': 0.069252225309346}",20,2,27.119708611192866,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.01, 'e': 0.06856315415427791}",20,6,13.07342390387146,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
268,False,"{'a': 0.01, 'e': 0.06788093937176144}",25,13,22.0596374578159,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.01, 'e': 0.06720551273974976}",20,9,17.061600609955942,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.01, 'e': 0.06653680671501686}",35,21,-25.06469253612558,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
271,False,"{'a': 0.01, 'e': 0.06587475442640295}",25,16,20.01412346662901,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.01, 'e': 0.06521928966812753}",20,12,2.1682773890510707,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
273,False,"{'a': 0.01, 'e': 0.06457034689316847}",20,14,10.35255094808981,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.01, 'e': 0.06392786120670757}",25,11,11.286052893298752,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
275,False,"{'a': 0.01, 'e': 0.0632917683596407}",20,11,17.64188974349524,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.01, 'e': 0.06266200474215315}",25,8,27.77337439135032,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.01, 'e': 0.06203850737735829}",25,18,13.8527866373261,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.01, 'e': 0.06142121391500013}",20,5,25.555132999857577,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.01, 'e': 0.06081006262521795}",20,10,-29.663086389699213,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
280,False,"{'a': 0.01, 'e': 0.06020499239237354}",35,24,23.94701199540303,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.01, 'e': 0.05960594270893937}",20,8,20.215275755509072,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.01, 'e': 0.05901285366944784}",20,12,13.726694785125446,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.01, 'e': 0.05842566596450083}",30,13,21.236011176473895,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.01, 'e': 0.057844320874838456}",20,6,26.417611354115554,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.01, 'e': 0.05726876026546736}",35,18,30.24466255250479,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.01, 'e': 0.0566989265798469}",20,13,10.093550291285233,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.01, 'e': 0.056134762834133725}",25,13,19.470826717279895,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
